"Time (s)","wx (rad/s)","wy (rad/s)","wz (rad/s)","wt (rad/s)"
2.547345823E-2,-1.306587309E-1,-8.809391409E-2,-1.984172128E-2,1.588267470E-1
3.554849979E-2,-2.103980333E-1,-1.034497023E-1,-1.149537414E-2,2.347366970E-1
4.562249989E-2,-2.577132583E-1,-8.535124362E-2,9.450598620E-3,2.716436491E-1
5.569650000E-2,-2.554634213E-1,-6.859356910E-2,3.957920521E-2,2.674568205E-1
6.577049987E-2,-2.069301605E-1,-4.885920137E-2,6.258080900E-2,2.216386035E-1
7.584449998E-2,-1.403277069E-1,-3.180298582E-2,8.285145462E-2,1.660351131E-1
8.591849986E-2,-7.673713565E-2,-2.692423016E-2,9.292931855E-2,1.234883007E-1
9.599249996E-2,-2.741565928E-2,-3.232485428E-2,9.241799265E-2,1.016739885E-1
1.060664998E-1,8.077118546E-3,-2.830469422E-2,8.663555235E-2,9.149925950E-2
1.161404999E-1,2.656345069E-2,-3.242300823E-2,7.361562550E-2,8.471203394E-2
1.262144998E-1,7.775080390E-3,-4.835613072E-2,5.140308291E-2,7.100031117E-2
1.362884999E-1,-2.111382596E-2,-6.380326301E-2,2.404709160E-2,7.137865670E-2
1.463624998E-1,-4.177786037E-2,-6.253262609E-2,1.289944723E-2,7.630278293E-2
1.564364999E-1,-5.538102239E-2,-4.529931396E-2,1.537512150E-2,7.318114407E-2
1.665104998E-1,-5.737611279E-2,-2.742086910E-2,1.217546128E-2,6.474692455E-2
1.765844999E-1,-5.715853348E-2,-1.393435523E-2,1.325084642E-2,6.030629433E-2
1.866585000E-1,-5.248295888E-2,-4.797582980E-3,1.483533066E-2,5.475002111E-2
1.967324999E-1,-3.199685737E-2,5.528824404E-3,2.591567859E-2,4.154502591E-2
2.068065000E-1,-1.102259196E-2,2.701254748E-2,4.325598106E-2,5.217523505E-2
2.168804999E-1,9.697332978E-3,4.338059947E-2,6.079662591E-2,7.531364020E-2
2.269545000E-1,2.208951116E-2,5.740111694E-2,7.728014886E-2,9.876768772E-2
2.370284998E-1,3.606311977E-2,4.368743673E-2,9.292621911E-2,1.088320860E-1
2.471024999E-1,5.028516054E-2,1.005654223E-2,8.833794296E-2,1.021436419E-1
2.571764998E-1,5.791032314E-2,-2.260126919E-2,7.977694273E-2,1.011374485E-1
2.672504999E-1,5.321653932E-2,-5.579334870E-2,6.480617076E-2,1.007210881E-1
2.773244998E-1,2.825659327E-2,-7.608503848E-2,3.773194179E-2,8.950456734E-2
